                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0588,                 1.7429,                 1.3416,                 1.2822,                0.73256,                0.73697,                0.79317,                0.59403,                0.73934,                0.72953,                0.79157,                0.57027,                0.91124,                 1.4782,                 1.0953,                 1.2115,              0.0010892,              0.0010892,              0.0010892
                     25,                0.99771,                 1.7024,                 1.2715,                 1.2489,                0.73552,                0.77289,                0.80949,                0.61378,                0.74208,                0.76034,                0.80766,                0.58023,                0.87154,                 1.4281,                 1.0496,                 1.1664,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.0729,                 1.8449,                 1.3522,                 1.2866,                0.77709,                0.77419,                0.83705,                0.64715,                0.78332,                 0.7804,                0.84147,                 0.6024,                0.84543,                  1.469,                 1.0588,                 1.1479,                0.00101,                0.00101,                0.00101
                     27,                0.99359,                 1.7545,                 1.2967,                 1.2278,                0.76878,                0.78908,                 0.8495,                 0.6716,                0.77001,                0.78924,                0.85049,                0.62768,                0.79594,                   1.37,                0.92414,                 1.1084,              0.0009704,              0.0009704,              0.0009704
                     28,                0.95597,                 1.6322,                 1.2219,                 1.2011,                0.76798,                0.77295,                0.84772,                0.66558,                0.77044,                0.77543,                 0.8485,                0.62018,                0.78781,                 1.3749,                 1.0343,                 1.1011,              0.0009308,              0.0009308,              0.0009308
                     29,                0.96907,                 1.7008,                 1.2228,                 1.2046,                0.76786,                0.80438,                0.85798,                0.67977,                0.77142,                 0.8081,                0.86362,                0.64727,                0.77389,                 1.3054,                0.90159,                 1.0973,              0.0008912,              0.0008912,              0.0008912
                     30,                0.96013,                 1.6872,                 1.2302,                 1.2108,                0.79105,                0.80321,                0.87264,                0.68493,                0.79446,                0.80566,                 0.8743,                0.64128,                0.78601,                 1.3055,                0.90558,                 1.1034,              0.0008516,              0.0008516,              0.0008516
                     31,                0.93786,                 1.6167,                  1.191,                 1.2063,                 0.8092,                0.82258,                0.88469,                0.71005,                0.81286,                 0.8263,                0.88659,                0.67409,                0.74468,                 1.2721,                0.83416,                 1.0695,               0.000812,               0.000812,               0.000812
                     32,                0.91361,                 1.6042,                  1.151,                 1.1818,                 0.8157,                0.85236,                0.89675,                0.70384,                0.81451,                0.85112,                0.89608,                0.65779,                0.77396,                 1.3084,                 0.8743,                 1.0924,              0.0007724,              0.0007724,              0.0007724
                     33,                 0.9576,                 1.5649,                 1.1821,                 1.2049,                0.80932,                0.85311,                0.90023,                0.71381,                0.81277,                0.85634,                0.90153,                 0.6822,                0.75344,                 1.2391,                0.84944,                 1.0714,              0.0007328,              0.0007328,              0.0007328
                     34,                 0.9252,                 1.5473,                  1.149,                  1.174,                0.82467,                0.84739,                0.90572,                0.72524,                0.82588,                0.84864,                0.90367,                0.68794,                0.73335,                 1.2097,                0.82134,                 1.0595,              0.0006932,              0.0006932,              0.0006932
                     35,                0.90735,                 1.5407,                 1.1191,                 1.1652,                0.81239,                0.84864,                0.90197,                0.72905,                0.81001,                0.84615,                0.90062,                0.69083,                0.72706,                 1.2044,                0.80418,                 1.0584,              0.0006536,              0.0006536,              0.0006536
                     36,                0.91895,                  1.568,                 1.1271,                 1.1977,                0.84442,                0.83995,                0.91531,                0.75202,                0.84692,                0.84243,                0.91651,                  0.713,                0.69277,                 1.1369,                0.76185,                 1.0409,               0.000614,               0.000614,               0.000614
                     37,                   0.87,                 1.4922,                 1.0781,                 1.1501,                0.82653,                0.86104,                0.92204,                0.75335,                0.82653,                0.86104,                0.92125,                0.71559,                0.69304,                  1.159,                0.79815,                  1.031,              0.0005744,              0.0005744,              0.0005744
                     38,                 0.8574,                 1.4978,                  1.021,                 1.1301,                0.84478,                 0.8598,                0.92766,                0.76148,                  0.846,                0.86104,                0.92824,                0.72114,                0.68912,                 1.1249,                0.76164,                 1.0299,              0.0005348,              0.0005348,              0.0005348
                     39,                0.84544,                 1.4552,                 1.0397,                 1.1291,                0.83578,                0.88462,                0.93011,                 0.7697,                0.83376,                0.88361,                0.92988,                0.73308,                0.66651,                 1.0901,                0.73538,                 1.0168,              0.0004952,              0.0004952,              0.0004952
                     40,                0.81327,                  1.404,                 1.0351,                 1.1183,                0.81957,                0.87717,                0.91727,                0.76365,                  0.822,                0.87717,                0.91869,                0.72291,                0.66278,                 1.0788,                0.71182,                 1.0122,              0.0004556,              0.0004556,              0.0004556
                     41,                0.84553,                 1.4075,                0.95972,                   1.18,                0.84539,                0.86155,                0.92098,                0.76348,                0.84539,                0.86155,                0.92118,                0.71982,                0.65854,                 1.1013,                0.73956,                 1.0111,               0.000416,               0.000416,               0.000416
                     42,                0.77147,                 1.3068,                0.89612,                 1.0933,                0.86414,                0.85236,                0.91738,                0.76558,                0.86414,                0.85236,                0.91771,                0.72755,                0.64617,                 1.0659,                0.74419,                 1.0012,              0.0003764,              0.0003764,              0.0003764
                     43,                0.75012,                 1.2622,                0.85847,                 1.0836,                0.84485,                0.88834,                0.93156,                0.77518,                0.84485,                0.88834,                0.93232,                0.73599,                0.66054,                  1.078,                0.68858,                 1.0054,              0.0003368,              0.0003368,              0.0003368
                     44,                0.73283,                 1.2581,                0.81801,                 1.0822,                0.86615,                0.88834,                0.94265,                0.78973,                0.86736,                0.88958,                0.94345,                0.74666,                0.62159,                 1.0285,                0.66133,                0.98062,              0.0002972,              0.0002972,              0.0002972
                     45,                0.73475,                 1.2178,                0.81202,                 1.1027,                0.87431,                0.87717,                0.94604,                0.79411,                 0.8707,                0.88089,                0.94653,                0.74661,                0.61895,                 1.0368,                0.65299,                0.98078,              0.0002576,              0.0002576,              0.0002576
                     46,                0.73372,                 1.2449,                0.78714,                 1.0934,                0.86889,                0.89082,                0.94915,                0.80503,                0.86889,                0.89082,                0.94936,                 0.7615,                0.60914,                 1.0216,                0.61556,                0.97328,               0.000218,               0.000218,               0.000218
                     47,                0.71255,                 1.1951,                0.79456,                 1.0707,                0.85321,                0.91811,                0.95481,                0.80939,                0.85321,                0.91811,                0.95543,                0.75681,                0.60346,                  1.021,                 0.6378,                0.97336,              0.0001784,              0.0001784,              0.0001784
                     48,                 0.6858,                 1.1965,                0.75957,                 1.0562,                0.88249,                0.89082,                0.95486,                 0.8099,                0.88249,                0.89082,                0.95567,                0.76783,                0.60119,                 1.0008,                0.61069,                0.97264,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.6901,                 1.1558,                 0.7319,                 1.0765,                0.88256,                 0.8858,                 0.9536,                0.81467,                 0.8838,                0.88704,                0.95544,                   0.77,                 0.5931,                 0.9872,                0.60473,                0.96616,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                  0.668,                 1.1585,                0.71803,                 1.0401,                0.90038,                0.88585,                0.95732,                0.81815,                0.90038,                0.88585,                 0.9582,                0.76991,                0.58739,                 0.9864,                0.59634,                0.96145,               5.96e-05,               5.96e-05,               5.96e-05
